,best
adjunct_island,0.795
adv_order,0.762
wh_vs_that_with_gap,0.149
anaphor_gender_agreement,0.503
anaphor_number_agreement,0.553
recursion_pp_verb_long,0.056
center_embedding_double_1,0.402
recursion_pp_verb_medium,0.104
center_embedding_double_2,0.729
recursion_pp_verb_short,0.325
center_embedding_single_1,0.64
subj_aux_vary_verb_rc,0.474
center_embedding_single_2,0.948
complex_np_island,0.393
recursion_poss_transitive_medium,0.915
coordinate_structure_constrain_object_extraction,0.538
subj_aux_vary_verb_pp,0.406
determiner_noun_agreement_1,0.567
subj_verb_vary_verb,0.443
determiner_noun_agreement_2,0.619
svo_vos,0.39
determiner_noun_agreement_adj_1,0.522
swapped_ditransitive_1,0.774
determiner_noun_agreement_adj_2,0.606
ellipsis,0.646
green_ideas,0.383
intransitive,0.542
recursion_poss_transitive_short,0.949
left_branch_island_simple_question,0.053
recursion_pp_is_long,0.698
matrix_question_npi_licensor_present,0.577
npi_present,0.427
swapped_ditransitive_2,0.756
only_npi_licensor_present,1.0
only_npi_scope,0.973
pp_order,0.839
principle_A_c_command,0.514
principle_A_domain_1,1.0
principle_A_domain_2,0.504
principle_A_domain_3,0.487
transitive,0.879
recursion_intensifier_adj_long,1.0
wh_island,0.62
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.348
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.151
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.201
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.652
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.7
recursion_poss_ditransitive_long,0.812
recursion_pp_is_medium,0.49
recursion_poss_ditransitive_medium,0.808
recursion_pp_is_short,0.152
recursion_poss_ditransitive_short,0.813
wh_vs_that_no_gap,0.997
recursion_poss_transitive_long,0.768
subj_aux_agreement_question_vary_subj,0.498
sentential_negation_npi_licensor_present,0.136
wh_vs_that_no_gap_long_distance,0.989
sentential_negation_npi_scope,0.412
subj_aux_vary_subj,0.609
subj_aux_agreement_question_vary_aux,0.648
subj_aux_vary_verb,0.697
