,best
adjunct_island,0.688
adv_order,0.682
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.501
center_embedding_double_1,0.516
center_embedding_double_2,0.964
center_embedding_single_1,0.321
center_embedding_single_2,0.975
complex_np_island,0.614
coordinate_structure_constrain_object_extraction,0.673
determiner_noun_agreement_1,0.491
determiner_noun_agreement_2,0.605
determiner_noun_agreement_adj_1,0.524
determiner_noun_agreement_adj_2,0.596
ellipsis,0.456
green_ideas,0.402
intransitive,0.648
left_branch_island_simple_question,0.54
matrix_question_npi_licensor_present,0.01
npi_present,0.385
only_npi_licensor_present,0.999
only_npi_scope,0.222
pp_order,0.826
principle_A_c_command,0.492
principle_A_domain_1,1.0
principle_A_domain_2,0.517
principle_A_domain_3,0.476
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.612
recursion_poss_ditransitive_medium,0.602
recursion_poss_ditransitive_short,0.626
recursion_poss_transitive_long,0.93
recursion_poss_transitive_medium,0.912
recursion_poss_transitive_short,0.974
recursion_pp_is_long,0.458
recursion_pp_is_medium,0.164
recursion_pp_is_short,0.395
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.997
sentential_negation_npi_licensor_present,0.523
sentential_negation_npi_scope,0.63
subj_aux_agreement_question_vary_aux,0.523
subj_aux_agreement_question_vary_subj,0.493
subj_aux_vary_subj,0.581
subj_aux_vary_verb,0.741
subj_aux_vary_verb_pp,0.45
subj_aux_vary_verb_rc,0.473
subj_verb_vary_verb,0.429
svo_vos,0.646
swapped_ditransitive_1,0.701
swapped_ditransitive_2,0.652
transitive,0.808
wh_island,0.904
wh_questions_object_gap,0.173
wh_questions_object_gap_long_distance,0.19
wh_questions_subject_gap,0.699
wh_questions_subject_gap_long_distance,0.606
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,0.998
wh_vs_that_with_gap,0.389
wh_vs_that_with_gap_long_distance,0.397
