,best
adjunct_island,0.533
adv_order,0.585
anaphor_gender_agreement,0.501
anaphor_number_agreement,0.511
center_embedding_double_1,0.389
center_embedding_double_2,0.915
center_embedding_single_1,0.284
center_embedding_single_2,0.935
complex_np_island,0.585
coordinate_structure_constrain_object_extraction,0.38
determiner_noun_agreement_1,0.461
determiner_noun_agreement_2,0.564
determiner_noun_agreement_adj_1,0.527
determiner_noun_agreement_adj_2,0.596
ellipsis,0.212
green_ideas,0.531
intransitive,0.452
left_branch_island_simple_question,0.224
matrix_question_npi_licensor_present,0.369
npi_present,0.412
only_npi_licensor_present,0.195
only_npi_scope,0.408
pp_order,0.52
principle_A_c_command,0.509
principle_A_domain_1,0.944
principle_A_domain_2,0.528
principle_A_domain_3,0.489
recursion_intensifier_adj_long,0.718
recursion_intensifier_adj_medium,0.882
recursion_intensifier_adj_short,0.99
recursion_intensifier_adv_long,0.247
recursion_intensifier_adv_medium,0.11
recursion_intensifier_adv_short,0.01
recursion_poss_ditransitive_long,0.664
recursion_poss_ditransitive_medium,0.653
recursion_poss_ditransitive_short,0.575
recursion_poss_transitive_long,0.613
recursion_poss_transitive_medium,0.727
recursion_poss_transitive_short,0.773
recursion_pp_is_long,0.885
recursion_pp_is_medium,0.961
recursion_pp_is_short,0.582
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.933
sentential_negation_npi_licensor_present,0.996
sentential_negation_npi_scope,0.182
subj_aux_agreement_question_vary_aux,0.426
subj_aux_agreement_question_vary_subj,0.472
subj_aux_vary_subj,0.525
subj_aux_vary_verb,0.447
subj_aux_vary_verb_pp,0.514
subj_aux_vary_verb_rc,0.507
subj_verb_vary_verb,0.412
svo_vos,0.335
swapped_ditransitive_1,0.876
swapped_ditransitive_2,0.862
transitive,0.7
wh_island,0.966
wh_questions_object_gap,0.384
wh_questions_object_gap_long_distance,0.295
wh_questions_subject_gap,0.523
wh_questions_subject_gap_long_distance,0.498
wh_vs_that_no_gap,0.999
wh_vs_that_no_gap_long_distance,0.993
wh_vs_that_with_gap,0.182
wh_vs_that_with_gap_long_distance,0.277
