,best
adjunct_island,0.763
adv_order,0.47
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.476
center_embedding_double_1,0.448
center_embedding_double_2,0.876
center_embedding_single_1,0.372
center_embedding_single_2,0.819
complex_np_island,0.376
coordinate_structure_constrain_object_extraction,0.459
determiner_noun_agreement_1,0.486
determiner_noun_agreement_2,0.617
determiner_noun_agreement_adj_1,0.516
determiner_noun_agreement_adj_2,0.565
ellipsis,0.233
green_ideas,0.506
intransitive,0.615
left_branch_island_simple_question,0.042
matrix_question_npi_licensor_present,0.053
npi_present,0.468
only_npi_licensor_present,0.266
only_npi_scope,0.147
pp_order,0.401
principle_A_c_command,0.494
principle_A_domain_1,1.0
principle_A_domain_2,0.501
principle_A_domain_3,0.476
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.61
recursion_poss_ditransitive_medium,0.666
recursion_poss_ditransitive_short,0.724
recursion_poss_transitive_long,0.728
recursion_poss_transitive_medium,0.735
recursion_poss_transitive_short,0.781
recursion_pp_is_long,0.0
recursion_pp_is_medium,0.0
recursion_pp_is_short,0.0
recursion_pp_verb_long,0.996
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.947
sentential_negation_npi_licensor_present,0.428
sentential_negation_npi_scope,0.6
subj_aux_agreement_question_vary_aux,0.42
subj_aux_agreement_question_vary_subj,0.483
subj_aux_vary_subj,0.553
subj_aux_vary_verb,0.768
subj_aux_vary_verb_pp,0.444
subj_aux_vary_verb_rc,0.459
subj_verb_vary_verb,0.477
svo_vos,0.598
swapped_ditransitive_1,0.806
swapped_ditransitive_2,0.747
transitive,0.812
wh_island,0.993
wh_questions_object_gap,0.045
wh_questions_object_gap_long_distance,0.039
wh_questions_subject_gap,0.775
wh_questions_subject_gap_long_distance,0.843
wh_vs_that_no_gap,0.939
wh_vs_that_no_gap_long_distance,0.882
wh_vs_that_with_gap,0.51
wh_vs_that_with_gap_long_distance,0.503
