,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1190.509521484375), (1, 962.503173828125)]","[(0, 2624.95849609375), (1, 2178.870849609375)]","[(0, 1623.87255859375), (1, 1848.9298095703125)]","[(0, 2658.05712890625), (1, 2181.308837890625)]","[(0, 1232.0028076171875), (1, 1193.10888671875)]","[(0, 714.2947998046875), (1, 344.43328857421875)]","[(0, 12922.6123046875), (1, 13209.181640625)]","[(0, 4203.94873046875), (1, 1979.42626953125)]","[(0, 5652.7822265625), (1, 3338.1865234375)]","[(0, 20719.396484375), (1, 17637.59765625)]","[(0, 6188.47509765625), (1, 7381.509765625)]","[(0, 4052.958251953125), (1, 1735.938232421875)]","[(0, 8065.552734375), (1, 9381.41015625)]","[(0, 2329.417724609375), (1, 3541.866455078125)]","[(0, 5520.89306640625), (1, 4085.498046875)]","[(0, 3040.062255859375), (1, 2947.766357421875)]","[(0, 2817.759765625), (1, 2666.239501953125)]","[(0, 2611.960693359375), (1, 2489.099853515625)]","[(0, 1978.9375), (1, 1891.6722412109375)]","[(0, 2193.119873046875), (1, 1511.43408203125)]","[(0, 9435.892578125), (1, 9089.3408203125)]","[(0, 2852.22021484375), (1, 3124.2109375)]","[(0, 2459.055908203125), (1, 2117.31103515625)]"
1,"[(0, 3299.98486328125), (1, 3078.715087890625)]","[(0, 2420.811767578125), (1, 1833.6142578125)]","[(0, 1529.08544921875), (1, 1750.5289306640625)]","[(0, 1400.944091796875), (1, 1165.8896484375)]","[(0, 943.1007080078125), (1, 771.4232788085938)]","[(0, 602.2992553710938), (1, 270.0418701171875)]","[(0, 7241.072265625), (1, 6859.4248046875)]","[(0, 2036.4456787109375), (1, 1830.0146484375)]","[(0, 1976.6798095703125), (1, 1086.65869140625)]","[(0, 12192.4384765625), (1, 13353.841796875)]","[(0, 9002.228515625), (1, 10564.0810546875)]","[(0, 3158.374267578125), (1, 1289.375732421875)]","[(0, 7124.59619140625), (1, 6853.87890625)]","[(0, 2608.033203125), (1, 4184.4775390625)]","[(0, 6408.13525390625), (1, 4677.6494140625)]","[(0, 2774.287353515625), (1, 2697.701904296875)]","[(0, 1862.8660888671875), (1, 1913.2271728515625)]","[(0, 1978.53466796875), (1, 2097.183837890625)]","[(0, 6892.5986328125), (1, 5599.23583984375)]","[(0, 1349.9422607421875), (1, 1631.2950439453125)]","[(0, 3736.168212890625), (1, 3886.53076171875)]","[(0, 3078.336181640625), (1, 3215.87060546875)]","[(0, 5512.61181640625), (1, 5218.9970703125)]"
2,"[(0, 1445.1041259765625), (1, 1464.433349609375)]","[(0, 2556.384521484375), (1, 2031.9422607421875)]","[(0, 1547.7666015625), (1, 1777.7498779296875)]","[(0, 1521.431396484375), (1, 1283.9208984375)]","[(0, 1246.8682861328125), (1, 992.1314697265625)]","[(0, 816.7625732421875), (1, 384.942138671875)]","[(0, 2079.146484375), (1, 2141.193115234375)]","[(0, 2481.208740234375), (1, 2859.451171875)]","[(0, 4651.05322265625), (1, 2587.80029296875)]","[(0, 18392.484375), (1, 16083.4326171875)]","[(0, 6958.9443359375), (1, 5947.58544921875)]","[(0, 4825.904296875), (1, 2548.821044921875)]","[(0, 8659.6376953125), (1, 8454.2392578125)]","[(0, 3370.27734375), (1, 2912.03759765625)]","[(0, 4412.26025390625), (1, 3240.8271484375)]","[(0, 3736.061279296875), (1, 2961.97998046875)]","[(0, 4467.28125), (1, 4690.62646484375)]","[(0, 1594.502685546875), (1, 1581.2177734375)]","[(0, 1968.114501953125), (1, 1940.2413330078125)]","[(0, 5364.419921875), (1, 7056.0654296875)]","[(0, 6534.400390625), (1, 6080.15673828125)]","[(0, 2819.865966796875), (1, 2498.385498046875)]","[(0, 2513.798583984375), (1, 3303.511474609375)]"
3,"[(0, 2620.390380859375), (1, 2157.91455078125)]","[(0, 2309.9150390625), (1, 1695.688232421875)]","[(0, 1441.2647705078125), (1, 1666.0439453125)]","[(0, 1486.3292236328125), (1, 1230.2598876953125)]","[(0, 2845.87841796875), (1, 2272.263671875)]","[(0, 4160.93505859375), (1, 1770.12255859375)]","[(0, 1679.34228515625), (1, 1617.9844970703125)]","[(0, 4948.58935546875), (1, 2945.459228515625)]","[(0, 6077.42626953125), (1, 2032.4935302734375)]","[(0, 10350.134765625), (1, 10288.626953125)]","[(0, 10256.7578125), (1, 8516.9716796875)]","[(0, 4307.35009765625), (1, 2171.6123046875)]","[(0, 5454.62158203125), (1, 5251.65966796875)]","[(0, 2693.248291015625), (1, 3118.906005859375)]","[(0, 6392.96728515625), (1, 4296.94970703125)]","[(0, 2390.34130859375), (1, 3023.405517578125)]","[(0, 2862.28173828125), (1, 3097.814453125)]","[(0, 1878.2047119140625), (1, 1998.7894287109375)]","[(0, 3342.270263671875), (1, 2575.349853515625)]","[(0, 6692.88720703125), (1, 15129.7919921875)]","[(0, 4646.46923828125), (1, 4113.6904296875)]","[(0, 3049.674072265625), (1, 2722.432861328125)]","[(0, 1949.557861328125), (1, 2702.34716796875)]"
4,"[(0, 1523.340576171875), (1, 1279.3026123046875)]","[(0, 2756.340087890625), (1, 3427.562255859375)]","[(0, 2154.208251953125), (1, 1924.3822021484375)]","[(0, 1543.4727783203125), (1, 1277.2734375)]","[(0, 2870.7548828125), (1, 2499.527099609375)]","[(0, 989.8528442382812), (1, 573.7341918945312)]","[(0, 4402.7060546875), (1, 4605.24365234375)]","[(0, 2352.85400390625), (1, 2182.818359375)]","[(0, 3144.075439453125), (1, 1329.5546875)]","[(0, 8193.26953125), (1, 5446.3720703125)]","[(0, 4313.72607421875), (1, 4726.42822265625)]","[(0, 4560.17626953125), (1, 1759.1636962890625)]","[(0, 4488.0126953125), (1, 4871.330078125)]","[(0, 1917.310302734375), (1, 3034.133544921875)]","[(0, 4945.3388671875), (1, 4002.818603515625)]","[(0, 2922.46923828125), (1, 2412.54345703125)]","[(0, 3239.572509765625), (1, 3459.927978515625)]","[(0, 1387.440673828125), (1, 1083.27783203125)]","[(0, 2067.308349609375), (1, 2008.8880615234375)]","[(0, 7295.728515625), (1, 5560.40087890625)]","[(0, 3257.737060546875), (1, 2742.069091796875)]","[(0, 2979.8212890625), (1, 2205.89013671875)]","[(0, 3090.431640625), (1, 5084.05322265625)]"
5,"[(0, 3296.380126953125), (1, 2959.86376953125)]","[(0, 2511.61328125), (1, 3419.116455078125)]","[(0, 2142.6962890625), (1, 1906.989013671875)]","[(0, 1857.7625732421875), (1, 1549.2344970703125)]","[(0, 3316.5771484375), (1, 2623.19677734375)]","[(0, 1970.15673828125), (1, 972.2355346679688)]","[(0, 3022.483154296875), (1, 3085.28125)]","[(0, 2548.474609375), (1, 2008.6983642578125)]","[(0, 4618.21337890625), (1, 2041.6622314453125)]","[(0, 13608.4990234375), (1, 11043.8125)]","[(0, 5864.72119140625), (1, 6540.509765625)]","[(0, 3790.406982421875), (1, 1928.083740234375)]","[(0, 4106.607421875), (1, 4228.802734375)]","[(0, 2940.586669921875), (1, 4088.538330078125)]","[(0, 4186.96435546875), (1, 3660.069580078125)]","[(0, 2370.168212890625), (1, 2341.95947265625)]","[(0, 2012.78466796875), (1, 2213.703369140625)]","[(0, 1529.3028564453125), (1, 1280.3394775390625)]","[(0, 6298.74072265625), (1, 5129.3251953125)]","[(0, 3839.899658203125), (1, 8932.232421875)]","[(0, 2040.983642578125), (1, 1748.610107421875)]","[(0, 2914.803466796875), (1, 2067.423583984375)]","[(0, 1262.263427734375), (1, 1199.9720458984375)]"
6,"[(0, 1436.8087158203125), (1, 1379.828369140625)]","[(0, 3036.000244140625), (1, 3755.150146484375)]","[(0, 2058.817626953125), (1, 1828.06103515625)]","[(0, 1185.48193359375), (1, 1005.900146484375)]","[(0, 1083.2452392578125), (1, 1110.6297607421875)]","[(0, 1214.228759765625), (1, 634.6641235351562)]","[(0, 4137.29296875), (1, 4536.8994140625)]","[(0, 4722.72900390625), (1, 3282.6083984375)]","[(0, 3307.095458984375), (1, 1472.5863037109375)]","[(0, 11424.12890625), (1, 14476.5869140625)]","[(0, 4337.3759765625), (1, 4020.282958984375)]","[(0, 6380.82177734375), (1, 3164.1474609375)]","[(0, 4101.40625), (1, 5132.16845703125)]","[(0, 4931.15869140625), (1, 7044.9169921875)]","[(0, 5678.71728515625), (1, 4222.0009765625)]","[(0, 7378.603515625), (1, 7604.94482421875)]","[(0, 2958.597900390625), (1, 3095.419677734375)]","[(0, 2085.959716796875), (1, 2296.756103515625)]","[(0, 2579.863037109375), (1, 2037.6375732421875)]","[(0, 6237.22021484375), (1, 3642.366455078125)]","[(0, 4136.55517578125), (1, 4518.03955078125)]","[(0, 2969.135498046875), (1, 2205.185546875)]","[(0, 3225.72119140625), (1, 3292.75439453125)]"
7,"[(0, 3126.076416015625), (1, 2708.642578125)]","[(0, 2598.7548828125), (1, 3578.18017578125)]","[(0, 2016.6246337890625), (1, 1784.334228515625)]","[(0, 2594.436279296875), (1, 3128.5908203125)]","[(0, 666.416259765625), (1, 795.977294921875)]","[(0, 930.0164184570312), (1, 465.5528869628906)]","[(0, 2481.69873046875), (1, 2381.748046875)]","[(0, 5271.419921875), (1, 1409.4805908203125)]","[(0, 4589.31982421875), (1, 2274.363525390625)]","[(0, 10291.2373046875), (1, 10198.03125)]","[(0, 5607.51318359375), (1, 5493.76025390625)]","[(0, 4039.475830078125), (1, 1378.8641357421875)]","[(0, 3431.794677734375), (1, 3722.681396484375)]","[(0, 7727.31396484375), (1, 8839.255859375)]","[(0, 5165.814453125), (1, 3764.889404296875)]","[(0, 6290.955078125), (1, 7033.12939453125)]","[(0, 1861.875), (1, 1939.2237548828125)]","[(0, 1429.2811279296875), (1, 2035.335205078125)]","[(0, 2400.98681640625), (1, 1639.250244140625)]","[(0, 7486.4482421875), (1, 6602.52880859375)]","[(0, 2195.826904296875), (1, 2441.23681640625)]","[(0, 2491.042236328125), (1, 1875.217529296875)]","[(0, 3462.314453125), (1, 5961.4697265625)]"
8,"[(0, 1707.24853515625), (1, 1849.666015625)]","[(0, 3216.379638671875), (1, 3212.847900390625)]","[(0, 2669.306640625), (1, 2500.151611328125)]","[(0, 1339.817626953125), (1, 1591.15625)]","[(0, 857.0588989257812), (1, 1059.1787109375)]","[(0, 847.1397094726562), (1, 398.5534362792969)]","[(0, 2452.018798828125), (1, 2409.132568359375)]","[(0, 3515.7548828125), (1, 2455.570068359375)]","[(0, 3115.350341796875), (1, 1526.339111328125)]","[(0, 3165.345703125), (1, 4257.33056640625)]","[(0, 1817.0205078125), (1, 2501.95849609375)]","[(0, 3305.150146484375), (1, 1648.5673828125)]","[(0, 11191.900390625), (1, 11077.5361328125)]","[(0, 1788.7239990234375), (1, 2636.440185546875)]","[(0, 5252.255859375), (1, 4274.02197265625)]","[(0, 7576.32958984375), (1, 7114.587890625)]","[(0, 2202.26220703125), (1, 2672.1044921875)]","[(0, 1110.603759765625), (1, 1286.588623046875)]","[(0, 2289.42138671875), (1, 2261.919189453125)]","[(0, 2736.420166015625), (1, 2515.44140625)]","[(0, 5010.265625), (1, 4201.572265625)]","[(0, 1745.4844970703125), (1, 1662.583740234375)]","[(0, 1692.884765625), (1, 2255.464599609375)]"
9,"[(0, 5636.234375), (1, 5472.5869140625)]","[(0, 2902.207763671875), (1, 2697.938720703125)]","[(0, 3186.1982421875), (1, 3055.394287109375)]","[(0, 1472.016845703125), (1, 1720.194091796875)]","[(0, 1769.590087890625), (1, 2191.503662109375)]","[(0, 1072.0308837890625), (1, 517.4136962890625)]","[(0, 2421.49755859375), (1, 2503.843017578125)]","[(0, 5650.74462890625), (1, 3025.26025390625)]","[(0, 2907.0498046875), (1, 1768.90087890625)]","[(0, 4743.65576171875), (1, 5627.2275390625)]","[(0, 2476.107666015625), (1, 3216.00244140625)]","[(0, 3422.120849609375), (1, 1802.5537109375)]","[(0, 10565.6123046875), (1, 10194.228515625)]","[(0, 2446.96142578125), (1, 3270.1162109375)]","[(0, 5524.28466796875), (1, 4549.173828125)]","[(0, 6367.8427734375), (1, 6162.48486328125)]","[(0, 1362.022216796875), (1, 1676.1796875)]","[(0, 1562.64990234375), (1, 1806.646240234375)]","[(0, 3262.48779296875), (1, 1993.6026611328125)]","[(0, 3112.7490234375), (1, 2619.439453125)]","[(0, 2189.404296875), (1, 1881.5760498046875)]","[(0, 1768.5196533203125), (1, 1718.951171875)]","[(0, 4255.48388671875), (1, 4072.5712890625)]"
