,best
agreement_determiner_noun-across_1_adjective,0.512
agreement_determiner_noun-between_neighbors,0.582
agreement_subject_verb-across_prepositional_phrase,0.5175
agreement_subject_verb-across_relative_clause,0.509
agreement_subject_verb-in_question_with_aux,0.4985
agreement_subject_verb-in_simple_question,0.508
anaphor_agreement-pronoun_gender,0.489
argument_structure-dropped_argument,0.789
argument_structure-swapped_arguments,0.9865
argument_structure-transitive,0.664
binding-principle_a,0.3775
case-subjective_pronoun,0.9965
ellipsis-n_bar,0.488
filler-gap-wh_question_object,0.2535
filler-gap-wh_question_subject,0.993
irregular-verb,0.699
island-effects-adjunct_island,0.448
island-effects-coordinate_structure_constraint,0.631
local_attractor-in_question_with_aux,0.625
npi_licensing-matrix_question,0.1365
npi_licensing-only_npi_licensor,0.5125
quantifiers-existential_there,0.762
quantifiers-superlative,0.4695
