,best
agreement_determiner_noun-across_1_adjective,0.51
agreement_determiner_noun-between_neighbors,0.5255
agreement_subject_verb-across_prepositional_phrase,0.5095
agreement_subject_verb-across_relative_clause,0.5275
agreement_subject_verb-in_question_with_aux,0.5005
agreement_subject_verb-in_simple_question,0.498
anaphor_agreement-pronoun_gender,0.526
argument_structure-dropped_argument,0.9055
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6015
binding-principle_a,0.324
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1585
filler-gap-wh_question_object,0.3905
filler-gap-wh_question_subject,0.6895
irregular-verb,0.545
island-effects-adjunct_island,0.588
island-effects-coordinate_structure_constraint,0.4595
local_attractor-in_question_with_aux,0.555
npi_licensing-matrix_question,0.2345
npi_licensing-only_npi_licensor,0.573
quantifiers-existential_there,0.705
quantifiers-superlative,0.4955
