,best
agreement_determiner_noun-across_1_adjective,0.5085
agreement_determiner_noun-between_neighbors,0.52
agreement_subject_verb-across_prepositional_phrase,0.5045
agreement_subject_verb-across_relative_clause,0.4885
agreement_subject_verb-in_question_with_aux,0.5015
agreement_subject_verb-in_simple_question,0.487
anaphor_agreement-pronoun_gender,0.5245
argument_structure-dropped_argument,0.9235
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5665
binding-principle_a,0.3035
case-subjective_pronoun,1.0
ellipsis-n_bar,0.252
filler-gap-wh_question_object,0.397
filler-gap-wh_question_subject,1.0
irregular-verb,0.5895
island-effects-adjunct_island,0.574
island-effects-coordinate_structure_constraint,0.308
local_attractor-in_question_with_aux,0.584
npi_licensing-matrix_question,0.318
npi_licensing-only_npi_licensor,0.9995
quantifiers-existential_there,0.683
quantifiers-superlative,0.3785
