,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 33294.0078125), (1, 27575.626953125)]","[(0, 27883.68359375), (1, 28262.884765625)]","[(0, 31698.57421875), (1, 37891.7265625)]","[(0, 36431.5), (1, 39262.9375)]","[(0, 37715.46875), (1, 37821.36328125)]","[(0, 27080.48828125), (1, 23209.669921875)]","[(0, 21854.76171875), (1, 22389.04296875)]","[(0, 44802.921875), (1, 36774.25)]","[(0, 28028.50390625), (1, 24147.591796875)]","[(0, 47126.0), (1, 31409.931640625)]","[(0, 23768.140625), (1, 22335.064453125)]","[(0, 33009.74609375), (1, 21755.05078125)]","[(0, 19129.86328125), (1, 19068.71875)]","[(0, 29809.822265625), (1, 28729.40625)]","[(0, 46723.6875), (1, 32641.44921875)]","[(0, 17105.009765625), (1, 16954.84375)]","[(0, 35820.60546875), (1, 36122.28125)]","[(0, 32807.3828125), (1, 33383.19140625)]","[(0, 32228.720703125), (1, 32420.8984375)]","[(0, 22951.392578125), (1, 25301.80078125)]","[(0, 27777.41015625), (1, 17426.6796875)]","[(0, 51384.00390625), (1, 48836.7734375)]","[(0, 34022.88671875), (1, 32111.921875)]"
1,"[(0, 39825.21875), (1, 37738.0625)]","[(0, 36811.9375), (1, 35313.98828125)]","[(0, 29546.544921875), (1, 35539.6796875)]","[(0, 35005.90625), (1, 38785.34765625)]","[(0, 37121.64453125), (1, 35381.171875)]","[(0, 31621.76171875), (1, 26092.546875)]","[(0, 24942.00390625), (1, 22528.646484375)]","[(0, 50049.765625), (1, 31161.037109375)]","[(0, 35947.703125), (1, 22557.734375)]","[(0, 39037.23828125), (1, 40967.5625)]","[(0, 25198.041015625), (1, 24003.630859375)]","[(0, 44545.3359375), (1, 34769.84765625)]","[(0, 25433.966796875), (1, 23949.576171875)]","[(0, 41349.48046875), (1, 35413.91796875)]","[(0, 51224.7421875), (1, 36146.6796875)]","[(0, 20458.56640625), (1, 20606.54296875)]","[(0, 35344.44921875), (1, 36058.94921875)]","[(0, 32300.4453125), (1, 38916.13671875)]","[(0, 37094.81640625), (1, 33062.046875)]","[(0, 25088.74609375), (1, 22194.90234375)]","[(0, 27006.107421875), (1, 19311.8828125)]","[(0, 41678.75390625), (1, 40092.46875)]","[(0, 37774.10546875), (1, 36143.19921875)]"
2,"[(0, 31281.41796875), (1, 29817.072265625)]","[(0, 20552.4921875), (1, 21222.357421875)]","[(0, 29504.197265625), (1, 35956.72265625)]","[(0, 34524.41015625), (1, 38165.3984375)]","[(0, 39322.484375), (1, 38507.37890625)]","[(0, 23969.06640625), (1, 20930.189453125)]","[(0, 31386.904296875), (1, 33210.22265625)]","[(0, 53922.84375), (1, 52008.59765625)]","[(0, 41080.08203125), (1, 28756.2421875)]","[(0, 47752.44921875), (1, 49564.9375)]","[(0, 23345.26171875), (1, 22561.17578125)]","[(0, 39298.19140625), (1, 33786.4609375)]","[(0, 26363.53515625), (1, 25351.0)]","[(0, 22129.828125), (1, 18452.728515625)]","[(0, 37456.9921875), (1, 32331.048828125)]","[(0, 23967.3046875), (1, 25536.359375)]","[(0, 24983.0703125), (1, 22100.974609375)]","[(0, 31793.275390625), (1, 32395.185546875)]","[(0, 42474.5390625), (1, 38033.7578125)]","[(0, 41747.4140625), (1, 27916.939453125)]","[(0, 33363.6171875), (1, 19964.490234375)]","[(0, 32894.0390625), (1, 32339.345703125)]","[(0, 37330.89453125), (1, 32323.927734375)]"
3,"[(0, 28756.763671875), (1, 24171.876953125)]","[(0, 24335.197265625), (1, 23460.2265625)]","[(0, 27287.494140625), (1, 33258.5234375)]","[(0, 40671.9765625), (1, 43329.9140625)]","[(0, 37872.109375), (1, 37913.1640625)]","[(0, 36535.5), (1, 35509.96484375)]","[(0, 41552.3515625), (1, 38103.71875)]","[(0, 35029.84765625), (1, 46579.40625)]","[(0, 39028.8671875), (1, 39677.25390625)]","[(0, 20571.08203125), (1, 16826.25390625)]","[(0, 24986.333984375), (1, 23833.693359375)]","[(0, 58952.91015625), (1, 35079.96484375)]","[(0, 22626.9609375), (1, 21877.595703125)]","[(0, 16639.34375), (1, 17135.474609375)]","[(0, 40959.12109375), (1, 35033.32421875)]","[(0, 25245.0625), (1, 23849.744140625)]","[(0, 23586.52734375), (1, 20963.091796875)]","[(0, 30074.353515625), (1, 34048.52734375)]","[(0, 41311.05078125), (1, 34189.77734375)]","[(0, 26563.23828125), (1, 29787.345703125)]","[(0, 39069.0078125), (1, 20825.697265625)]","[(0, 37844.63671875), (1, 36297.703125)]","[(0, 41800.28125), (1, 35173.125)]"
4,"[(0, 33933.58203125), (1, 28468.966796875)]","[(0, 27429.30078125), (1, 28545.087890625)]","[(0, 36181.65234375), (1, 30829.6796875)]","[(0, 36961.265625), (1, 39495.21484375)]","[(0, 33030.3125), (1, 33393.6953125)]","[(0, 24063.888671875), (1, 25208.759765625)]","[(0, 22783.099609375), (1, 23953.755859375)]","[(0, 53575.45703125), (1, 38501.171875)]","[(0, 39427.92578125), (1, 19946.4296875)]","[(0, 33941.21875), (1, 25591.166015625)]","[(0, 15394.4130859375), (1, 13952.0087890625)]","[(0, 29060.8515625), (1, 18567.2734375)]","[(0, 19748.59375), (1, 21424.24609375)]","[(0, 21052.3046875), (1, 20705.373046875)]","[(0, 24039.369140625), (1, 18905.08203125)]","[(0, 24237.572265625), (1, 22382.529296875)]","[(0, 24555.8046875), (1, 20489.396484375)]","[(0, 17790.873046875), (1, 20720.80078125)]","[(0, 35927.9296875), (1, 32215.72265625)]","[(0, 25710.19921875), (1, 32201.345703125)]","[(0, 40041.3046875), (1, 25559.701171875)]","[(0, 40470.77734375), (1, 37694.21875)]","[(0, 46558.578125), (1, 32671.908203125)]"
5,"[(0, 26312.947265625), (1, 24444.681640625)]","[(0, 36395.48828125), (1, 38997.1640625)]","[(0, 34757.25), (1, 29711.224609375)]","[(0, 36323.328125), (1, 39207.5234375)]","[(0, 37627.4140625), (1, 34475.22265625)]","[(0, 33425.52734375), (1, 32856.76171875)]","[(0, 31188.5078125), (1, 28532.705078125)]","[(0, 32246.5234375), (1, 33259.4140625)]","[(0, 27278.62109375), (1, 26083.19140625)]","[(0, 32723.888671875), (1, 32214.431640625)]","[(0, 20175.046875), (1, 17663.958984375)]","[(0, 44788.26953125), (1, 31060.9609375)]","[(0, 20966.25), (1, 21841.13671875)]","[(0, 24456.43359375), (1, 21641.38671875)]","[(0, 23853.9765625), (1, 19069.900390625)]","[(0, 24714.318359375), (1, 26364.7421875)]","[(0, 24285.396484375), (1, 20395.681640625)]","[(0, 14445.2255859375), (1, 15631.3515625)]","[(0, 33887.3671875), (1, 28709.46875)]","[(0, 21107.427734375), (1, 28792.6015625)]","[(0, 41035.36328125), (1, 25700.41796875)]","[(0, 41606.5546875), (1, 39152.3359375)]","[(0, 32478.2109375), (1, 32795.05859375)]"
6,"[(0, 22994.00390625), (1, 21687.271484375)]","[(0, 26447.189453125), (1, 28192.248046875)]","[(0, 33327.99609375), (1, 27776.908203125)]","[(0, 36465.04296875), (1, 40125.20703125)]","[(0, 23694.26953125), (1, 23404.4921875)]","[(0, 32778.70703125), (1, 32929.03515625)]","[(0, 18181.169921875), (1, 20406.48046875)]","[(0, 40484.01953125), (1, 43467.8203125)]","[(0, 23462.015625), (1, 20799.755859375)]","[(0, 40767.2734375), (1, 50462.27734375)]","[(0, 15814.3125), (1, 14016.330078125)]","[(0, 29460.365234375), (1, 21554.486328125)]","[(0, 28898.373046875), (1, 32221.529296875)]","[(0, 26847.28125), (1, 26066.158203125)]","[(0, 38675.68359375), (1, 27486.251953125)]","[(0, 34063.95703125), (1, 40012.63671875)]","[(0, 28331.404296875), (1, 28101.1171875)]","[(0, 30668.1015625), (1, 27888.228515625)]","[(0, 39887.01953125), (1, 31692.498046875)]","[(0, 30359.958984375), (1, 35640.07421875)]","[(0, 26250.36328125), (1, 15508.849609375)]","[(0, 33597.5), (1, 30572.49609375)]","[(0, 40549.3203125), (1, 38257.8828125)]"
7,"[(0, 30957.044921875), (1, 26603.37109375)]","[(0, 33981.5078125), (1, 37504.99609375)]","[(0, 32045.4765625), (1, 26751.3359375)]","[(0, 39234.90234375), (1, 36273.62109375)]","[(0, 22723.861328125), (1, 24353.490234375)]","[(0, 25345.73046875), (1, 22117.1875)]","[(0, 27851.921875), (1, 23905.626953125)]","[(0, 45362.61328125), (1, 24128.140625)]","[(0, 34768.65234375), (1, 30702.779296875)]","[(0, 36803.375), (1, 26132.091796875)]","[(0, 22136.517578125), (1, 20627.029296875)]","[(0, 42134.99609375), (1, 29868.671875)]","[(0, 32768.01953125), (1, 32128.615234375)]","[(0, 22842.560546875), (1, 23167.033203125)]","[(0, 35905.21875), (1, 25496.2578125)]","[(0, 40047.109375), (1, 40059.328125)]","[(0, 26373.392578125), (1, 25238.203125)]","[(0, 31650.212890625), (1, 28871.130859375)]","[(0, 36519.16015625), (1, 29863.458984375)]","[(0, 27229.03125), (1, 27318.896484375)]","[(0, 30544.34375), (1, 21519.833984375)]","[(0, 33114.11328125), (1, 31660.537109375)]","[(0, 50623.8515625), (1, 36021.27734375)]"
8,"[(0, 29541.474609375), (1, 34510.421875)]","[(0, 37570.8671875), (1, 34771.4375)]","[(0, 50676.55078125), (1, 61863.6015625)]","[(0, 39315.24609375), (1, 35368.5234375)]","[(0, 25344.0390625), (1, 26131.693359375)]","[(0, 29254.361328125), (1, 24393.7734375)]","[(0, 20091.83203125), (1, 20941.0703125)]","[(0, 44680.41796875), (1, 44630.2109375)]","[(0, 49405.05078125), (1, 28285.58984375)]","[(0, 23274.970703125), (1, 27395.6796875)]","[(0, 25779.166015625), (1, 27436.833984375)]","[(0, 25555.751953125), (1, 25842.302734375)]","[(0, 24308.4765625), (1, 24477.45703125)]","[(0, 26053.3359375), (1, 24685.0625)]","[(0, 31851.576171875), (1, 25285.9765625)]","[(0, 20977.111328125), (1, 19366.9921875)]","[(0, 24678.14453125), (1, 22803.5546875)]","[(0, 28334.97265625), (1, 26548.625)]","[(0, 33651.59375), (1, 36427.88671875)]","[(0, 24894.19140625), (1, 23107.28125)]","[(0, 41624.015625), (1, 25179.615234375)]","[(0, 32103.134765625), (1, 28993.05859375)]","[(0, 31910.498046875), (1, 27503.744140625)]"
9,"[(0, 42491.9609375), (1, 45409.96875)]","[(0, 49092.578125), (1, 42691.3984375)]","[(0, 54504.17578125), (1, 65620.1171875)]","[(0, 39440.67578125), (1, 35514.5390625)]","[(0, 24220.080078125), (1, 24672.119140625)]","[(0, 24036.13671875), (1, 21231.529296875)]","[(0, 20220.71875), (1, 19735.322265625)]","[(0, 34537.41796875), (1, 35644.62890625)]","[(0, 24880.900390625), (1, 21931.072265625)]","[(0, 40740.95703125), (1, 33928.20703125)]","[(0, 21840.240234375), (1, 23937.337890625)]","[(0, 48372.59765625), (1, 39713.94140625)]","[(0, 21340.9453125), (1, 21194.224609375)]","[(0, 23576.677734375), (1, 21692.9609375)]","[(0, 32954.10546875), (1, 27256.103515625)]","[(0, 19184.890625), (1, 20121.765625)]","[(0, 24590.583984375), (1, 22203.58203125)]","[(0, 20452.634765625), (1, 24927.5)]","[(0, 25864.419921875), (1, 25186.123046875)]","[(0, 24739.0078125), (1, 31021.173828125)]","[(0, 33557.98046875), (1, 20433.0625)]","[(0, 28723.572265625), (1, 25875.71875)]","[(0, 40994.56640625), (1, 39579.14453125)]"
