,best
adjunct_island,0.498
anaphor_gender_agreement,0.768
anaphor_number_agreement,0.645
animate_subject_passive,0.505
animate_subject_trans,0.416
causative,0.462
complex_NP_island,0.465
coordinate_structure_constraint_complex_left_branch,0.413
coordinate_structure_constraint_object_extraction,0.485
determiner_noun_agreement_1,0.542
determiner_noun_agreement_2,0.489
determiner_noun_agreement_irregular_1,0.513
determiner_noun_agreement_irregular_2,0.536
determiner_noun_agreement_with_adj_2,0.476
determiner_noun_agreement_with_adj_irregular_1,0.519
determiner_noun_agreement_with_adj_irregular_2,0.546
determiner_noun_agreement_with_adjective_1,0.505
distractor_agreement_relational_noun,0.474
distractor_agreement_relative_clause,0.507
drop_argument,0.564
ellipsis_n_bar_1,0.133
ellipsis_n_bar_2,0.402
existential_there_object_raising,0.619
existential_there_quantifiers_1,0.784
existential_there_quantifiers_2,0.023
existential_there_subject_raising,0.548
expletive_it_object_raising,0.604
inchoative,0.404
intransitive,0.472
irregular_past_participle_adjectives,0.534
irregular_past_participle_verbs,0.681
irregular_plural_subject_verb_agreement_1,0.529
irregular_plural_subject_verb_agreement_2,0.479
left_branch_island_echo_question,0.604
left_branch_island_simple_question,0.476
matrix_question_npi_licensor_present,0.046
npi_present_1,0.288
npi_present_2,0.247
only_npi_licensor_present,0.145
only_npi_scope,0.457
passive_1,0.564
passive_2,0.581
principle_A_c_command,0.442
principle_A_case_1,0.956
principle_A_case_2,0.428
principle_A_domain_1,0.371
principle_A_domain_2,0.432
principle_A_domain_3,0.528
principle_A_reconstruction,0.427
regular_plural_subject_verb_agreement_1,0.558
regular_plural_subject_verb_agreement_2,0.464
sentential_negation_npi_licensor_present,0.919
sentential_negation_npi_scope,0.691
sentential_subject_island,0.498
superlative_quantifiers_1,0.044
superlative_quantifiers_2,0.065
tough_vs_raising_1,0.485
tough_vs_raising_2,0.527
transitive,0.588
wh_island,0.754
wh_questions_object_gap,0.577
wh_questions_subject_gap,0.857
wh_questions_subject_gap_long_distance,0.76
wh_vs_that_no_gap,0.752
wh_vs_that_no_gap_long_distance,0.758
wh_vs_that_with_gap,0.248
wh_vs_that_with_gap_long_distance,0.275
