,checkpoint-4000
adjunct_island,0.504
anaphor_gender_agreement,0.653
anaphor_number_agreement,0.544
animate_subject_passive,0.579
animate_subject_trans,0.363
causative,0.409
complex_NP_island,0.538
coordinate_structure_constraint_complex_left_branch,0.395
coordinate_structure_constraint_object_extraction,0.437
determiner_noun_agreement_1,0.533
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.506
determiner_noun_agreement_irregular_2,0.531
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.534
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.503
distractor_agreement_relational_noun,0.485
distractor_agreement_relative_clause,0.521
drop_argument,0.563
ellipsis_n_bar_1,0.378
ellipsis_n_bar_2,0.33
existential_there_object_raising,0.706
existential_there_quantifiers_1,0.814
existential_there_quantifiers_2,0.679
existential_there_subject_raising,0.628
expletive_it_object_raising,0.656
inchoative,0.322
intransitive,0.377
irregular_past_participle_adjectives,0.467
irregular_past_participle_verbs,0.715
irregular_plural_subject_verb_agreement_1,0.516
irregular_plural_subject_verb_agreement_2,0.52
left_branch_island_echo_question,0.531
left_branch_island_simple_question,0.446
matrix_question_npi_licensor_present,0.076
npi_present_1,0.282
npi_present_2,0.301
only_npi_licensor_present,0.647
only_npi_scope,0.6
passive_1,0.626
passive_2,0.608
principle_A_c_command,0.536
principle_A_case_1,1.0
principle_A_case_2,0.394
principle_A_domain_1,1.0
principle_A_domain_2,0.494
principle_A_domain_3,0.532
principle_A_reconstruction,0.472
regular_plural_subject_verb_agreement_1,0.447
regular_plural_subject_verb_agreement_2,0.487
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.354
sentential_subject_island,0.443
superlative_quantifiers_1,0.508
superlative_quantifiers_2,0.351
tough_vs_raising_1,0.43
tough_vs_raising_2,0.63
transitive,0.626
wh_island,0.757
wh_questions_object_gap,0.733
wh_questions_subject_gap,0.986
wh_questions_subject_gap_long_distance,0.937
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.0
wh_vs_that_with_gap_long_distance,0.001
