,best
adjunct_island,0.739
superlative_quantifiers_2,0.31
anaphor_gender_agreement,0.662
tough_vs_raising_1,0.467
anaphor_number_agreement,0.696
tough_vs_raising_2,0.605
animate_subject_passive,0.537
wh_questions_subject_gap,0.839
animate_subject_trans,0.432
causative,0.442
wh_vs_that_no_gap,0.929
complex_NP_island,0.421
coordinate_structure_constraint_complex_left_branch,0.131
left_branch_island_echo_question,0.532
coordinate_structure_constraint_object_extraction,0.341
transitive,0.616
determiner_noun_agreement_1,0.61
wh_island,0.76
determiner_noun_agreement_2,0.518
only_npi_scope,0.47
determiner_noun_agreement_irregular_1,0.563
passive_1,0.595
determiner_noun_agreement_irregular_2,0.616
principle_A_domain_1,0.964
determiner_noun_agreement_with_adj_2,0.493
left_branch_island_simple_question,0.177
determiner_noun_agreement_with_adj_irregular_1,0.516
matrix_question_npi_licensor_present,0.068
determiner_noun_agreement_with_adj_irregular_2,0.558
npi_present_1,0.454
determiner_noun_agreement_with_adjective_1,0.557
principle_A_domain_2,0.449
distractor_agreement_relational_noun,0.479
principle_A_domain_3,0.497
distractor_agreement_relative_clause,0.493
drop_argument,0.527
wh_vs_that_with_gap,0.134
ellipsis_n_bar_1,0.306
ellipsis_n_bar_2,0.5
principle_A_reconstruction,0.175
existential_there_object_raising,0.677
regular_plural_subject_verb_agreement_1,0.629
existential_there_quantifiers_1,0.863
regular_plural_subject_verb_agreement_2,0.531
existential_there_quantifiers_2,0.395
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.498
wh_questions_object_gap,0.473
expletive_it_object_raising,0.65
inchoative,0.474
intransitive,0.446
sentential_negation_npi_scope,0.572
irregular_past_participle_adjectives,0.801
sentential_subject_island,0.458
irregular_past_participle_verbs,0.713
npi_present_2,0.384
irregular_plural_subject_verb_agreement_1,0.651
only_npi_licensor_present,0.542
irregular_plural_subject_verb_agreement_2,0.549
passive_2,0.514
principle_A_c_command,0.53
principle_A_case_1,1.0
principle_A_case_2,0.473
superlative_quantifiers_1,0.087
wh_questions_subject_gap_long_distance,0.888
wh_vs_that_no_gap_long_distance,0.916
wh_vs_that_with_gap_long_distance,0.125
