,best
adjunct_island,0.517
anaphor_gender_agreement,0.717
anaphor_number_agreement,0.651
animate_subject_passive,0.545
animate_subject_trans,0.543
causative,0.418
complex_NP_island,0.639
coordinate_structure_constraint_complex_left_branch,0.163
coordinate_structure_constraint_object_extraction,0.473
determiner_noun_agreement_1,0.502
determiner_noun_agreement_2,0.502
determiner_noun_agreement_irregular_1,0.51
determiner_noun_agreement_irregular_2,0.511
determiner_noun_agreement_with_adj_2,0.492
determiner_noun_agreement_with_adj_irregular_1,0.521
determiner_noun_agreement_with_adj_irregular_2,0.524
determiner_noun_agreement_with_adjective_1,0.499
distractor_agreement_relational_noun,0.482
distractor_agreement_relative_clause,0.488
drop_argument,0.609
ellipsis_n_bar_1,0.363
ellipsis_n_bar_2,0.508
existential_there_object_raising,0.69
existential_there_quantifiers_1,0.68
existential_there_quantifiers_2,0.001
existential_there_subject_raising,0.57
expletive_it_object_raising,0.64
inchoative,0.39
intransitive,0.458
irregular_past_participle_adjectives,0.529
irregular_past_participle_verbs,0.776
irregular_plural_subject_verb_agreement_1,0.508
irregular_plural_subject_verb_agreement_2,0.532
left_branch_island_echo_question,0.509
left_branch_island_simple_question,0.22
matrix_question_npi_licensor_present,0.007
npi_present_1,0.392
npi_present_2,0.305
only_npi_licensor_present,0.002
only_npi_scope,0.054
passive_1,0.548
passive_2,0.503
principle_A_c_command,0.387
principle_A_case_1,1.0
principle_A_case_2,0.414
principle_A_domain_1,0.88
principle_A_domain_2,0.481
principle_A_domain_3,0.518
principle_A_reconstruction,0.416
regular_plural_subject_verb_agreement_1,0.595
regular_plural_subject_verb_agreement_2,0.471
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.628
sentential_subject_island,0.591
superlative_quantifiers_1,0.332
superlative_quantifiers_2,0.368
tough_vs_raising_1,0.482
tough_vs_raising_2,0.585
transitive,0.583
wh_island,0.923
wh_questions_object_gap,0.439
wh_questions_subject_gap,0.54
wh_questions_subject_gap_long_distance,0.588
wh_vs_that_no_gap,0.893
wh_vs_that_no_gap_long_distance,0.892
wh_vs_that_with_gap,0.123
wh_vs_that_with_gap_long_distance,0.166
